"JS_score","ITL_score","USSL"
3.92929292929293,1,"tre"
3.78114478114478,1.4,"quattro"
4.12794612794613,1.2,"quattro"
4.09090909090909,1,"tre"
4.1986531986532,1.4,"tre"
4.21212121212121,2.4,"quattro"
2.55218855218855,1.6,"quattro"
3.52525252525253,2.8,"tre"
4.66666666666667,1,"tre"
4.53198653198653,1,"quattro"
3.8013468013468,1,"tre"
4.21212121212121,1,"tre"
2.45454545454545,2.6,"quattro"
2.46127946127946,3.8,"tre"
4.06397306397306,2.6,"tre"
4.09090909090909,1,"quattro"
2.32996632996633,1.2,"quattro"
4.45117845117845,1,"tre"
3.92929292929293,1.2,"quattro"
4.73063973063973,1,"quattro"
3.66329966329966,1.2,"tre"
3.76767676767677,3.6,"tre"
3.92929292929293,2.4,"quattro"
3.92929292929293,1,"quattro"
4.66666666666667,1,"quattro"
3.68686868686869,2.6,"quattro"
1.06734006734007,4,"tre"
3.60942760942761,3.4,"tre"
4.06397306397306,1,"quattro"
2.39057239057239,1.4,"tre"
3.92929292929293,1.6,"tre"
3.996632996633,1.6,"tre"
3.92929292929293,1,"quattro"
4.93265993265993,1,"tre"
3.92929292929293,1,"tre"
1.45454545454545,2.6,"quattro"
2.87205387205387,2.4,"tre"
3.79461279461279,2.6,"quattro"
1.98989898989899,1.8,"quattro"
4.3973063973064,1,"tre"
4.37037037037037,1,"quattro"
4.93265993265993,1.8,"quattro"
2.19191919191919,1.6,"quattro"
2.6026936026936,2.6,"tre"
5,3,"tre"
2.15151515151515,3.6,"quattro"
4.03703703703704,1,"tre"
4.3973063973064,1,"tre"
2.23232323232323,1.8,"quattro"
3.63636363636364,1,"tre"
1.48148148148148,1,"tre"
4.98653198653199,1,"quattro"
5,1,"tre"
3.0976430976431,1.4,"tre"
