"Cell_Line","Condition","Time_h","Replicate","Absorbance","ID_Traiettoria"
"MDA-MB 231","SCR",0,2,0.0949,"MDA-MB 231_SCR_2"
"MDA-MB 231","SCR",0,3,0.1364,"MDA-MB 231_SCR_3"
"MDA-MB 231","shPADI3",0,1,0.1182,"MDA-MB 231_shPADI3_1"
"MDA-MB 231","shPADI3",0,2,0.1132,"MDA-MB 231_shPADI3_2"
"MDA-MB 231","shPADI3",0,3,0.0931,"MDA-MB 231_shPADI3_3"
"MDA-MB 231","ShChD4_360",0,1,0.1231,"MDA-MB 231_ShChD4_360_1"
"MDA-MB 231","ShChD4_360",0,2,0.1236,"MDA-MB 231_ShChD4_360_2"
"MDA-MB 231","ShChD4_360",0,3,0.1289,"MDA-MB 231_ShChD4_360_3"
"MDA-MB 231","ShChD4_363",0,1,0.0901,"MDA-MB 231_ShChD4_363_1"
"MDA-MB 231","ShChD4_363",0,2,0.1678,"MDA-MB 231_ShChD4_363_2"
"MDA-MB 231","ShChD4_363",0,3,0.1096,"MDA-MB 231_ShChD4_363_3"
"MDA-MB 231","SCR",24,1,0.1432,"MDA-MB 231_SCR_1"
"MDA-MB 231","SCR",24,2,0.1045,"MDA-MB 231_SCR_2"
"MDA-MB 231","SCR",24,3,0.1077,"MDA-MB 231_SCR_3"
"MDA-MB 231","shPADI3",24,1,0.116,"MDA-MB 231_shPADI3_1"
"MDA-MB 231","shPADI3",24,2,0.1279,"MDA-MB 231_shPADI3_2"
"MDA-MB 231","shPADI3",24,3,0.1206,"MDA-MB 231_shPADI3_3"
"MDA-MB 231","ShChD4_360",24,1,0.1308,"MDA-MB 231_ShChD4_360_1"
"MDA-MB 231","ShChD4_360",24,2,0.119,"MDA-MB 231_ShChD4_360_2"
"MDA-MB 231","ShChD4_360",24,3,0.0998,"MDA-MB 231_ShChD4_360_3"
"MDA-MB 231","ShChD4_363",24,1,0.1206,"MDA-MB 231_ShChD4_363_1"
"MDA-MB 231","ShChD4_363",24,2,0.1547,"MDA-MB 231_ShChD4_363_2"
"MDA-MB 231","ShChD4_363",24,3,0.0889,"MDA-MB 231_ShChD4_363_3"
"MDA-MB 231","SCR",48,1,0.2647,"MDA-MB 231_SCR_1"
"MDA-MB 231","SCR",48,2,0.1688,"MDA-MB 231_SCR_2"
"MDA-MB 231","SCR",48,3,0.2376,"MDA-MB 231_SCR_3"
"MDA-MB 231","shPADI3",48,1,0.1878,"MDA-MB 231_shPADI3_1"
"MDA-MB 231","shPADI3",48,2,0.1788,"MDA-MB 231_shPADI3_2"
"MDA-MB 231","shPADI3",48,3,0.1992,"MDA-MB 231_shPADI3_3"
"MDA-MB 231","ShChD4_360",48,1,0.2547,"MDA-MB 231_ShChD4_360_1"
"MDA-MB 231","ShChD4_360",48,2,0.2348,"MDA-MB 231_ShChD4_360_2"
"MDA-MB 231","ShChD4_360",48,3,0.2144,"MDA-MB 231_ShChD4_360_3"
"MDA-MB 231","ShChD4_363",48,1,0.2453,"MDA-MB 231_ShChD4_363_1"
