Azienda_code,Unita_code,Qualifica_code,ID_base,CAW_received,ITL_score
ULSS4,ADI,SAN,LL28_4_ADIINF,40,14
ULSS3,MED,SAN,LL51_3_MEDINF,35,24
ULSS3,MED,SAN,LL75_3_MEDINF,36,19
ULSS3,PSO,SAN,LL81_3_PSOINF,13,33
ULSS3,ADI,SAN,LM64_3_ADIINF,40,11
ULSS3,MED,SAN,LM72_3_MEDINF,30,28
ULSS4,PSO,SAN,LN01_4_PSOINF,34,11
ULSS4,ADI,SAN,LN03_4_ADITEC,28,16
ULSS3,PSO,MED,LN05_3_PSOMED,26,17
ULSS4,PSO,SAN,LN15_4_PSOTEC,32,14
ULSS4,PSO,SAN,LN19_4_PSOINF,37,14
ULSS3,MED,SAN,LN22_3_MEDINF,32,25
ULSS3,MED,SAN,LN36_3_MEDOSS,32,18
ULSS3,ADI,SAN,LN39_3_ADIINF,41,17
ULSS4,MED,SAN,LN47_4_MEDOSS,38,22
ULSS4,ADI,SAN,LN57_4_ADIINF,27,16
ULSS3,MED,SAN,LN65_3_MEDINF,23,16
ULSS3,ADI,SAN,LN76_3_ADIINF,30,15
ULSS4,PSO,SAN,LN76_4_PSOOSS,34,13
ULSS4,ADI,SAN,LN79_4_ADIINF,35,21
ULSS3,MED,MED,LN81_3_MEDMED,32,21
ULSS4,MED,SAN,LN91_4_MEDINF,38,30
ULSS4,ADI,SAN,LN98_4_ADIINF,32,23
ULSS3,PSO,SAN,LR11_3_PSOOSS,27,17
ULSS4,PSO,SAN,LR17_4_PSOINF,42,27
ULSS4,PSO,SAN,LR30_4_PSOINF,33,17
ULSS4,ADI,SAN,LR41_4_ADIINF,34,22
ULSS3,MED,MED,LR42_3_MEDMED,30,17
ULSS4,PSO,SAN,LR69_4_PSOINF,34,11
ULSS3,MED,SAN,LS57_3_MEDINF,34,12
ULSS3,MED,SAN,LS92_3_MEDINF,26,24
ULSS3,PSO,SAN,LT27_3_PSOOSS,25,19
ULSS4,ADI,SAN,LT33_4_ADIINF,19,15
ULSS3,PSO,SAN,LT41_3_PSOINF,31,15
ULSS3,PSO,SAN,LT44_3_PSOTEC,32,14
ULSS4,ADI,SAN,LT49_4_ADIINF,42,12
ULSS4,MED,SAN,LT51_4_MEDTEC,33,12
ULSS4,ADI,SAN,LT69_4_ADIINF,30,22
ULSS4,PSO,SAN,LT88_4_PSOTEC,36,15
ULSS4,PSO,SAN,LT90_4_PSOINF,18,28
ULSS3,MED,SAN,LT91_3_MEDINF,33,18
ULSS3,PSO,SAN,LT95_3_PSOOSS,32,32
ULSS4,MED,SAN,LT98_4_MEDOSS,36,29
ULSS3,MED,SAN,LT99_3_MEDOSS,29,18
ULSS3,PSO,SAN,LZ31_3_PSOINF,27,22
ULSS4,ADI,SAN,LZ33_4_ADIINF,36,16
ULSS3,PSO,SAN,ML27_3_PSOTEC,25,11
ULSS3,MED,SAN,MN63_3_MEDINF,28,14
ULSS3,MED,MED,MR68_3_MEDMED,35,17
ULSS4,PSO,SAN,MR68_4_PSOTEC,31,15
ULSS4,PSO,SAN,NA11_4_PSOALT,24,13
ULSS4,MED,SAN,NC03_4_MEDINF,42,15
ULSS4,MED,SAN,NC22_4_MEDOSS,20,25
ULSS4,ADI,SAN,NC98_4_ADIALT,37,17
ULSS4,PSO,SAN,ND28_4_PSOINF,23,16
ULSS4,ADI,SAN,ND48_4_ADIINF,36,15
ULSS4,MED,SAN,ND57_4_MEDINF,31,24
ULSS4,ADI,SAN,NG09_4_ADIINF,37,29
ULSS3,PSO,SAN,NG17_3_PSOTEC,34,21
ULSS3,ADI,SAN,NH56_3_ADIINF,18,19
ULSS3,ADI,SAN,NH67_3_ADIINF,23,24
ULSS4,ADI,SAN,NH88_4_ADIINF,23,16
ULSS3,PSO,SAN,NJ26_3_PSOINF,25,24
ULSS4,MED,SAN,NL08_4_MEDTEC,11,29
ULSS4,PSO,MED,NL08_4_PSOMED,34,11
ULSS4,MED,SAN,NL11_4_MEDINF,33,20
ULSS4,ADI,SAN,NL35_4_ADIINF,36,16
ULSS3,MED,SAN,NL38_3_MEDTEC,37,14
ULSS3,PSO,SAN,NL43_3_PSOOSS,40,15
ULSS3,MED,SAN,NL44_3_MEDOSS,28,19
ULSS3,MED,SAN,NL50_3_MEDOSS,31,15
ULSS4,MED,SAN,NL51_4_MEDINF,15,34
ULSS4,ADI,SAN,NL52_4_ADIINF,34,28
ULSS3,PSO,SAN,NL53_3_PSOOSS,31,13
ULSS4,ADI,SAN,NL60_4_ADIOSS,27,24
ULSS3,ADI,SAN,NL87_3_ADIINF,37,21
ULSS4,PSO,MED,NL88_4_PSOMED,36,16
ULSS4,MED,SAN,NL93_4_MEDINF,33,20
ULSS4,PSO,SAN,NM84_4_PSOOSS,30,13
ULSS4,ADI,SAN,NM87_4_ADIINF,18,36
ULSS3,PSO,SAN,NN04_3_PSOINF,32,17
ULSS4,PSO,SAN,NN04_4_PSOINF,40,20
ULSS3,MED,SAN,NN14_3_MEDINF,22,32
ULSS3,MED,SAN,NN17_3_MEDOSS,30,29
ULSS4,ADI,SAN,NN21_4_ADITEC,31,26
ULSS4,MED,SAN,NN25_4_MEDINF,25,29
ULSS3,PSO,SAN,NN34_3_PSOINF,28,11
ULSS3,MED,SAN,NN35_3_MEDINF,28,16
ULSS3,PSO,SAN,NN36_3_PSOOSS,42,20
ULSS3,PSO,SAN,NN55_3_PSOTEC,31,31
ULSS4,ADI,MED,NN66_4_ADIMED,21,28
ULSS4,ADI,SAN,NN70_4_ADIINF,36,13
ULSS4,MED,SAN,NN71_4_MEDINF,26,22
ULSS4,ADI,MED,NN77_4_ADIMED,33,29
ULSS4,MED,SAN,NN79_4_MEDINF,30,20
ULSS3,PSO,SAN,NN82_3_PSOINF,33,22
ULSS3,MED,SAN,NN91_3_MEDOSS,30,27
ULSS4,ADI,SAN,NN91_4_ADIINF,25,30
ULSS3,MED,MED,NN99_3_MEDMED,38,22
ULSS3,PSO,SAN,NP12_3_PSOINF,22,21
ULSS4,MED,SAN,NP42_4_MEDOSS,25,16
ULSS3,MED,SAN,NR08_3_MEDOSS,27,35
ULSS4,ADI,SAN,NR10_4_ADIINF,36,11
ULSS3,MED,SAN,NR14_3_MEDOSS,21,30
ULSS4,MED,SAN,NR35_4_MEDALT,22,34
ULSS3,ADI,SAN,NR42_3_ADIINF,43,14
ULSS4,MED,SAN,NR65_4_MEDINF,35,19
ULSS3,MED,SAN,NR71_3_MEDINF,22,29
ULSS3,MED,SAN,NR83_3_MEDOSS,27,14
ULSS4,ADI,SAN,NR96_4_ADIINF,32,14
ULSS4,ADI,SAN,NS81_4_ADIINF,33,26
ULSS3,PSO,MED,NS89_3_PSOMED,35,20
ULSS3,MED,SAN,NT12_3_MEDINF,33,16
ULSS3,MED,SAN,NT13_3_MEDINF,33,25
ULSS4,ADI,SAN,NT25_4_ADIINF,33,17
ULSS3,MED,SAN,NT33_3_MEDOSS,39,20
ULSS4,ADI,SAN,NT34_4_ADIINF,36,11
ULSS3,MED,SAN,NT37_3_MEDOSS,43,20
ULSS3,MED,SAN,NT45_3_MEDOSS,19,30
ULSS4,PSO,SAN,NT70_4_PSOOSS,40,16
ULSS3,PSO,SAN,NT72_3_PSOTEC,29,12
ULSS3,PSO,SAN,NT80_3_PSOOSS,17,25
ULSS4,ADI,SAN,NV66_4_ADIINF,38,12
ULSS4,ADI,SAN,NZ25_4_ADIINF,36,14
ULSS4,PSO,SAN,NZ39_4_PSOINF,27,15
ULSS3,MED,SAN,NZ88_3_MEDINF,36,17
ULSS4,PSO,SAN,O_63_4_PSOOSS,35,14
ULSS3,PSO,SAN,OO10_3_PSOTEC,33,13
ULSS3,MED,SAN,RC42_3_MEDINF,30,26
ULSS3,MED,SAN,RC44_3_MEDINF,38,21
ULSS3,PSO,SAN,RC61_3_PSOINF,30,11
ULSS4,MED,SAN,RC65_4_MEDINF,31,31
ULSS4,MED,SAN,RC81_4_MEDINF,25,26
ULSS4,ADI,SAN,RD12_4_ADIINF,37,18
ULSS4,MED,SAN,RD55_4_MEDOSS,24,33
ULSS3,PSO,SAN,RE25_3_PSOINF,20,22
ULSS3,MED,SAN,RG49_3_MEDINF,36,40
ULSS4,ADI,SAN,RH11_4_ADIINF,35,17
ULSS4,MED,SAN,RH12_4_MEDOSS,35,15
ULSS4,ADI,SAN,RL04_4_ADITEC,41,11
ULSS4,PSO,MED,RL20_4_PSOMED,26,13
ULSS3,MED,SAN,RL23_3_MEDINF,39,16
ULSS4,ADI,SAN,RL23_4_ADITEC,38,16
ULSS3,ADI,SAN,RL32_3_ADIINF,32,20
ULSS3,PSO,SAN,RL54_3_PSOOSS,17,18
ULSS4,ADI,SAN,RL54_4_ADIINF,30,15
ULSS3,MED,SAN,RL58_3_MEDOSS,42,23
ULSS3,MED,SAN,RL63_3_MEDOSS,35,18
ULSS4,MED,SAN,RL71_4_MEDINF,29,15
ULSS3,ADI,SAN,RL79_3_ADIINF,31,29
ULSS3,MED,SAN,RM87_3_MEDINF,25,11
ULSS3,PSO,SAN,RN01_3_PSOOSS,37,16
ULSS4,ADI,SAN,RN10_4_ADIINF,36,22
ULSS4,ADI,SAN,RN13_4_ADIINF,36,18
ULSS4,PSO,SAN,RN42_4_PSOINF,29,27
ULSS4,MED,SAN,RN55_4_MEDINF,32,30
ULSS4,ADI,SAN,RN58_4_ADIINF,17,29
ULSS3,ADI,SAN,RN66_3_ADIINF,32,16
ULSS3,ADI,SAN,RN88_3_ADIINF,42,16
ULSS4,ADI,SAN,RN96_4_ADIOSS,34,13
ULSS4,MED,SAN,RR93_4_MEDINF,42,31
ULSS4,MED,SAN,RS08_4_MEDINF,27,30
ULSS3,PSO,MED,RS26_3_PSOMED,38,16
ULSS3,PSO,SAN,RS31_3_PSOINF,30,25
ULSS3,PSO,SAN,RS57_3_PSOINF,17,20
ULSS4,MED,MED,RS75_4_MEDMED,33,17
ULSS4,PSO,SAN,RS81_4_PSOINF,27,27
ULSS4,PSO,MED,RT00_4_PSOMED,38,29
ULSS4,PSO,MED,RT02_4_PSOMED,26,20
ULSS4,ADI,SAN,RT10_4_ADIINF,33,14
ULSS4,PSO,SAN,RT14_4_PSOINF,24,35
ULSS3,MED,SAN,RT25_3_MEDINF,32,16
ULSS3,PSO,SAN,RT25_3_PSOINF,25,41
ULSS3,MED,SAN,RT27_3_MEDINF,36,26
ULSS4,PSO,SAN,RT33_4_PSOINF,32,19
ULSS4,ADI,SAN,RT52_4_ADIINF,36,17
ULSS3,MED,SAN,RT61_3_MEDINF,41,19
ULSS4,PSO,SAN,RT69_4_PSOINF,34,13
ULSS4,PSO,SAN,RT89_4_PSOINF,37,13
ULSS4,ADI,SAN,RV02_4_ADIINF,39,22
ULSS3,MED,SAN,RZ98_3_MEDOSS,23,29
ULSS3,MED,SAN,SC70_3_MEDINF,28,15
ULSS4,ADI,SAN,SL02_4_ADITEC,26,17
ULSS4,MED,SAN,SL47_4_MEDOSS,36,23
ULSS4,PSO,SAN,SN01_4_PSOINF,32,13
